State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,Colbert,47,3,2010,34.7439,-87.8486
AL,Colbert,47,3,2011,34.7439,-87.8486
AL,Colbert,47,3,2012,34.7439,-87.8486
AL,Colbert,47,3,2013,34.7439,-87.8486
AL,Colbert,47,3,2014,34.7439,-87.8486
AL,Colbert,47,4,2010,34.7439,-87.8486
AL,Colbert,47,4,2011,34.7439,-87.8486
AL,Colbert,47,4,2012,34.7439,-87.8486
AL,Colbert,47,4,2013,34.7439,-87.8486
AL,Colbert,47,4,2014,34.7439,-87.8486
AL,Colbert,47,5,2010,34.7439,-87.8486
AL,Colbert,47,5,2011,34.7439,-87.8486
AL,Colbert,47,5,2012,34.7439,-87.8486
AL,Colbert,47,5,2013,34.7439,-87.8486
AL,Colbert,47,5,2014,34.7439,-87.8486
AL,Colbert,47,CCT1,2010,34.7439,-87.8486
AL,Colbert,47,CCT1,2011,34.7439,-87.8486
AL,Colbert,47,CCT1,2012,34.7439,-87.8486
AL,Colbert,47,CCT1,2013,34.7439,-87.8486
AL,Colbert,47,CCT1,2014,34.7439,-87.8486
AL,Colbert,47,CCT2,2010,34.7439,-87.8486
AL,Colbert,47,CCT2,2011,34.7439,-87.8486
AL,Colbert,47,CCT2,2012,34.7439,-87.8486
AL,Colbert,47,CCT2,2013,34.7439,-87.8486
AL,Colbert,47,CCT2,2014,34.7439,-87.8486
AL,Colbert,47,CCT3,2010,34.7439,-87.8486
AL,Colbert,47,CCT3,2011,34.7439,-87.8486
AL,Colbert,47,CCT3,2012,34.7439,-87.8486
AL,Colbert,47,CCT3,2013,34.7439,-87.8486
AL,Colbert,47,CCT3,2014,34.7439,-87.8486
AL,Colbert,47,CCT4,2010,34.7439,-87.8486
AL,Colbert,47,CCT4,2011,34.7439,-87.8486
AL,Colbert,47,CCT4,2012,34.7439,-87.8486
AL,Colbert,47,CCT4,2013,34.7439,-87.8486
AL,Colbert,47,CCT4,2014,34.7439,-87.8486
AL,Colbert,47,CCT5,2010,34.7439,-87.8486
AL,Colbert,47,CCT5,2011,34.7439,-87.8486
AL,Colbert,47,CCT5,2012,34.7439,-87.8486
AL,Colbert,47,CCT5,2013,34.7439,-87.8486
AL,Colbert,47,CCT5,2014,34.7439,-87.8486
AL,Colbert,47,CCT6,2010,34.7439,-87.8486
AL,Colbert,47,CCT6,2011,34.7439,-87.8486
AL,Colbert,47,CCT6,2012,34.7439,-87.8486
AL,Colbert,47,CCT6,2013,34.7439,-87.8486
AL,Colbert,47,CCT6,2014,34.7439,-87.8486
AL,Colbert,47,CCT7,2010,34.7439,-87.8486
AL,Colbert,47,CCT7,2011,34.7439,-87.8486
AL,Colbert,47,CCT7,2012,34.7439,-87.8486
AL,Colbert,47,CCT7,2013,34.7439,-87.8486
AL,Colbert,47,CCT7,2014,34.7439,-87.8486
AL,Colbert,47,CCT8,2010,34.7439,-87.8486
AL,Colbert,47,CCT8,2011,34.7439,-87.8486
AL,Colbert,47,CCT8,2012,34.7439,-87.8486
AL,Colbert,47,CCT8,2013,34.7439,-87.8486
AL,Colbert,47,CCT8,2014,34.7439,-87.8486
AL,Decatur Energy Center,55292,CTG-1,2010,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-1,2011,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-1,2012,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-1,2013,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-1,2014,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-2,2010,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-2,2011,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-2,2012,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-2,2013,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-2,2014,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-3,2010,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-3,2011,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-3,2012,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-3,2013,34.6292,-87.0214
AL,Decatur Energy Center,55292,CTG-3,2014,34.6292,-87.0214
AL,Discover,55138,1A,2010,32.5412,-85.0384
AL,Discover,55138,1A,2011,32.5412,-85.0384
AL,Discover,55138,1A,2012,32.5412,-85.0384
AL,Discover,55138,1A,2013,32.5412,-85.0384
AL,Discover,55138,1A,2014,32.5412,-85.0384
AL,Discover,55138,1B,2010,32.5412,-85.0384
AL,Discover,55138,1B,2011,32.5412,-85.0384
AL,Discover,55138,1B,2012,32.5412,-85.0384
AL,Discover,55138,1B,2013,32.5412,-85.0384
AL,Discover,55138,1B,2014,32.5412,-85.0384
AL,Discover,55138,2A,2010,32.5412,-85.0384
AL,Discover,55138,2A,2011,32.5412,-85.0384
AL,Discover,55138,2A,2012,32.5412,-85.0384
AL,Discover,55138,2A,2013,32.5412,-85.0384
AL,Discover,55138,2A,2014,32.5412,-85.0384
AL,Discover,55138,2B,2010,32.5412,-85.0384
AL,Discover,55138,2B,2011,32.5412,-85.0384
AL,Discover,55138,2B,2012,32.5412,-85.0384
AL,Discover,55138,2B,2013,32.5412,-85.0384
AL,Discover,55138,2B,2014,32.5412,-85.0384
